Parameters,Train_MAE,Test_MAE,Test_RMSE,Rank
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",1.3363186383357377,3.4377834150349473,3.4377834150349473,1
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 150}",1.3609253909285846,3.4883292921675277,3.4883292921675277,2
"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",1.50925808654477,3.512731394300146,3.512731394300146,3
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 150}",1.5616509943750438,3.5277925546161657,3.5277925546161657,4
"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 150}",1.4952095762694277,3.5299490820907526,3.5299490820907526,5
"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",1.4896886630190793,3.5328183201058216,3.5328183201058216,6
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 150}",1.5377572885888355,3.5339380885575338,3.5339380885575338,7
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",1.4895500556872578,3.5347060185185204,3.5347060185185204,8
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 150}",1.5372110628392766,3.5351899404093854,3.5351899404093854,9
"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 150}",1.4776197126785628,3.5395292548500925,3.5395292548500925,10
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",1.242180952380948,3.5399444444444437,3.5399444444444437,11
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 150}",1.4774906675790414,3.5405855599647307,3.5405855599647307,12
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 150}",1.2583396825396749,3.5406851851851853,3.5406851851851853,13
"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 150}",1.8653122097551988,3.553060769265127,3.553060769265127,14
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",1.5850969741132659,3.557871796182213,3.557871796182213,15
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 150}",1.250611066713996,3.559013084497807,3.559013084497807,16
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 150}",1.8780742009269393,3.562827674074896,3.562827674074896,17
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 150}",1.8776375464570703,3.5630740224795776,3.5630740224795776,18
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 150}",1.8776375464570703,3.5630740224795776,3.5630740224795776,18
"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",1.8772048198444908,3.5645084904776345,3.5645084904776345,20
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 50}",1.4348173036015763,3.5673362796154464,3.5673362796154464,21
"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 50}",1.9635025132487998,3.5710322553174496,3.5710322553174496,22
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",1.5654370618600977,3.572409468694887,3.572409468694887,23
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",1.5648338381261597,3.57426780202822,3.57426780202822,24
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 50}",1.6625088451114705,3.5831261200219524,3.5831261200219524,25
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",1.8998755884217182,3.5864446921905238,3.5864446921905238,26
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",1.8995607773575622,3.5872799385028538,3.5872799385028538,27
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}",1.8995607773575622,3.5872799385028538,3.5872799385028538,27
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",1.2382990385452246,3.593204348968932,3.593204348968932,29
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 50}",1.6407547077349454,3.602105379188712,3.602105379188712,30
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 50}",1.6393465747039555,3.6052331569664897,3.6052331569664897,31
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 50}",1.3478587301587326,3.612444444444443,3.612444444444443,32
"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",1.366451961596925,3.6173280370886354,3.6173280370886354,33
"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 150}",1.3429030643179685,3.6173282949061942,3.6173282949061942,34
"{'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 50}",1.9739150654724458,3.6174044053169063,3.6174044053169063,35
"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 150}",1.2611566487451344,3.618467003058671,3.618467003058671,36
"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 150}",1.997559130276858,3.619426920600231,3.619426920600231,37
"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 50}",1.9738060377805609,3.6205994029119037,3.6205994029119037,38
"{'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 50}",1.9738060377805609,3.6205994029119037,3.6205994029119037,38
"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 150}",1.833764979451765,3.6214270165020164,3.6214270165020164,40
