Provinsi,prevalensi_underweight_persen,prevalensi_stunting_persen,prevalensi_wasting_persen,persen_jarak_kehamilan_berisiko,persen_usia_ibu_berisiko,persen_tidak_ikut_kelas_bumil,persen_masalah_buku_kia,persen_kia_tidak_dijelaskan,persen_anc_tidak_lengkap_k6,persen_anc_tempat_informal,persen_usg_tidak_lengkap,persen_usg_oleh_non_spesialis,persen_tidak_patuh_minum_ttd,persen_mulai_ttd_terlambat,persen_bblr,persen_pblr,persen_imd_terlambat,persen_tidak_pernah_asi,persen_tidak_asi_eksklusif,persen_diberi_makanan_campuran_dini,persen_asi_berhenti_sebelum_2_tahun,persen_mpasi_tidak_tepat_waktu,persen_tidak_memenuhi_mdd,persen_tidak_memenuhi_mmf,persen_tidak_memenuhi_mmff,persen_tidak_memenuhi_mad,persen_tidak_konsumsi_protein_hewani,persen_konsumsi_minuman_manis,persen_konsumsi_makanan_tak_sehat,persen_tidak_konsumsi_buah_sayur,persen_pemberian_makan_dini,persen_diberi_susu_formula,persen_jarang_pantau_pertumbuhan,persen_pemantauan_nonstandar,persen_risiko_layanan_nonlengkap,persen_tidak_dapat_pmt,persen_pmt_tidak_habis,persen_tidak_dapat_vit_a,persen_imunisasi_dasar_incomplete,persen_imunisasi_lanjutan_incomplete,persen_imunisasi_pcv_incomplete,persen_imunisasi_rotavirus_incomplete,persen_balita_ispa,persen_balita_diare,persen_balita_pneumonia,persen_balita_tbc,persen_tidak_memiliki_jamkes,persen_jamkes_tidak_dimanfaatkan,persen_keluarga_tanpa_tpk,persen_balita_dianggap_berisiko,persen_persepsi_ibu_anak_bermasalah_gizi,persen_pengetahuan_stunting_baik,persen_tidak_kb_pasca_salin,persen_tidak_dapat_bansos,persen_akses_air_minum_berisiko,persen_akses_sanitasi_berisiko,persen_pembuangan_limbah_berisiko
Aceh,"23,7","28,6","9,6","9,7","9,4","48,3",45,"41,8",76,"18,4","16,7","31,3","63,9","95,5","4,8","9,9",8,"5,2","35,7","14,9",27,"24,8","46,2",31,"42,5","63,1","84,5","27,4","46,6","23,4","30,9","38,3","17,25","32,1","44,2","92,5","14,0",17,"94,6","92,1","89,9","97,1","27,1","6,2","3,2","0,3",10,"61,9","55,9","5,1","10,9","0,3","86,1","38,3",8,"11,4","83,3"
Sumatera Utara,"17,7",22,9,"17,3","10,3","72,9","51,3","48,1","80,5","14,2","30,6","35,1","59,5","93,8","3,3","13,4","9,1","10,1","41,2","15,2","45,7","25,5","54,2",26,"21,1","59,3","80,6","18,1","41,2","23,5","32,2",54,"25,3","45,5","69,9","91,3","8,7","36,6","72,4","67,7","51,3","83,4",38,8,"3,6","0,5","59,8",59,"58,9","9,3","5,9","0,5","84,1",56,"7,2","12,3","81,6"
Sumatera Barat,"18,8","24,9",7,"13,8","9,9","64,1","32,1","44,7","70,5","18,1","25,6","24,5","36,6","95,6","6,4","20,2","11,5","3,4",30,"12,6",29,"16,1","62,6","32,8","29,4","71,7","78,5","9,7","55,8","31,3","19,8","34,5","20,65","37,5","55,2","92,4","22,2","9,3","76,9","79,4","73,4","91,3","47,8","9,2","3,9","1,2","49,6","24,3","59,3","7,7","12,7","0,3","83,7",51,"9,6","26,5","83,3"
Riau,"20,1","20,1","10,8","12,7","11,3","68,8","45,2","56,2","71,8","14,9","24,2","28,1","51,5",94,"5,5","13,4","13,9",6,"36,8","12,2","34,8","22,9","58,4","33,7","18,4",67,"79,9","10,9","46,1","28,9","25,4","44,2","30,3","54,5","66,3","93,5","18,5","32,3","72,8","73,8","62,4","89,4","37,1","9,3","3,5","0,7","49,4",63,"55,5","8,5","9,7","1,6","81,5","74,7","5,9","12,8","89,0"
Jambi,"13,8","17,1","8,6","5,1","11,4","60,6","33,5","54,6","76,5","11,6",29,29,"46,1","92,9","3,6","12,5","28,1","4,9","19,1","7,1","25,6","39,5","43,6",30,"13,6","59,6","80,6","17,2","39,9","22,7","14,6","41,2","34,55","64,9","66,7","96,8","4,7","28,1","58,7","51,2","33,7","76,7","26,2","4,4","7,7","0,2","50,9","39,5","57,6",4,"6,7","1,4",66,"74,4","7,3","9,2","73,1"
Sumatera Selatan,"13,5","15,8","6,8","9,2","13,3","67,5","42,4","56,2","81,3","22,2","28,6","43,4","64,2","90,2",5,"15,9","11,5","7,1","36,1","15,1","35,3","32,2","57,8","34,2","16,2","68,9","79,6","11,9","41,8",31,"25,5",45,"28,5","52,7","68,2","96,3","23,3","24,8","53,2","55,6",36,"77,8","33,7","7,1","2,3","0,5","49,5","54,5","67,4","3,3","4,9","0,3","72,8","62,4","8,5","7,8","89,6"
Bengkulu,"14,9","18,8","6,9",10,"13,3",71,"32,3","54,7","72,2","24,6","23,6","24,3","50,5","91,3","5,7","8,5","13,7","4,8","31,3","12,6","29,1","17,7","39,6","27,7","27,1","58,5","85,5","14,7",41,"13,2","20,3","41,9","33,75","58,1","70,2","96,1","23,7","24,2","50,2","54,1","37,5","80,4","42,2","7,8","4,6","0,2","46,3","73,5","76,6","5,2","9,6","0,5","72,3","56,9","9,8","6,3","82,6"
Lampung,"14,8","15,9","6,8","7,6",12,"67,4","19,8","41,5","81,8","17,4","29,2","40,7","44,5","93,3","5,1",21,"15,2","4,8","30,4","8,1","33,2","20,1","57,6","35,5","20,3","67,6","78,9","7,8","42,1","27,6","19,1","38,1","23,8","44,3","63,5","94,8","16,3","13,8","51,6","53,7","30,5","84,4","27,7","6,1",2,"0,4","63,7","74,7","57,5","6,7","11,9","0,4","74,3",56,6,4,"90,6"
Bangka Belitung,"16,3","20,1","7,7","8,5",13,"53,6","23,6","50,3","66,9","3,8","18,2",15,"45,6","91,2",8,27,"20,4","10,7","47,5","12,1","51,7","19,1","68,8","37,1",5,"68,8","76,7","3,3","39,6","41,7",42,"59,8","27,9","48,4","59,4","94,3","15,7","19,9","48,5","54,4","36,4",68,"23,4","6,2",2,"0,3","42,8","69,8",46,"4,4","7,3","0,4","76,7","84,6","17,5","3,1","78,0"
Kepulauan Riau,"13,7",15,"6,3","10,6","10,3","88,3","24,5","43,9","58,1","2,5","14,5","17,3","38,5",96,"6,4","16,6","15,5","5,8",15,"2,6","41,7","15,7","52,4","33,1","4,6","64,3",88,"11,2","35,9","23,6","14,8","43,4","24,65","44,4","64,0","93,1","12,5","11,2","50,9","55,2","29,2",73,"25,6",4,"1,6","0,4","21,3","54,9","51,2","4,5","5,6","0,2","86,7","87,9","2,9",6,"91,6"
